x,y,z,Bx,By,Bz
-1.5,-0.7,-0.3,-2.1959999999999997,0.732,-24.147
-1.5,-0.7,-0.2,-0.6990000000000001,0.767,-24.17
-1.5,-0.7,-0.1,0.934,0.746,-24.184
-1.5,-0.7,0.0,2.523,0.718,-24.154
-1.5,-0.7,0.1,4.0889999999999995,0.75,-24.211
-1.5,-0.7,0.2,5.6770000000000005,0.74,-24.22
-1.5,-0.7,0.3,7.279,0.737,-24.204
-1.5,-0.7,0.4,8.902000000000001,0.6809999999999999,-24.21
-1.5,-0.7,0.5,10.470999999999998,0.6940000000000001,-24.209
-1.5,-0.7,0.6,11.995,0.713,-24.215
-1.5,-0.7,0.7,13.597000000000001,0.72,-24.214000000000002
-1.5,-0.7,0.8,15.161,0.628,-24.215
-1.5,-0.7,0.9,16.721,0.6609999999999999,-24.169
-1.5,-0.7,1.0,18.307000000000002,0.6809999999999999,-24.235
-1.5,-0.7,1.1,19.868,0.688,-24.134
-1.5,-0.7,1.2,21.401999999999997,0.645,-24.189
-1.5,-0.7,1.3,22.948,0.5820000000000001,-24.153000000000002
-1.5,-0.7,1.4,24.528000000000002,0.635,-24.089000000000002
-1.5,-0.7,1.5,26.041999999999998,0.601,-24.052
-1.5,-0.6,-1.5,-21.127,0.868,-23.628
-1.5,-0.6,-1.4,-19.548,0.8909999999999999,-23.772
-1.5,-0.6,-1.3,-18.054000000000002,0.809,-23.885
-1.5,-0.6,-1.2,-16.423,0.8390000000000001,-23.901999999999997
-1.5,-0.6,-1.1,-14.92,0.8320000000000001,-23.91
-1.5,-0.6,-1.0,-13.347000000000001,0.8420000000000001,-23.961
-1.5,-0.6,-0.9,-11.702,0.8390000000000001,-24.061999999999998
-1.5,-0.6,-0.8,-10.156,0.809,-24.069000000000003
-1.5,-0.6,-0.7,-8.624,0.792,-24.084
-1.5,-0.6,-0.6,-7.045,0.725,-24.118000000000002
-1.5,-0.6,-0.5,-5.468999999999999,0.765,-24.174
-1.5,-0.6,-0.4,-3.818,0.84,-24.155
-1.5,-0.6,-0.3,-2.291,0.79,-24.162
-1.5,-0.6,-0.2,-0.609,0.754,-24.114
-1.5,-0.6,-0.1,0.985,0.759,-24.169
-1.5,-0.6,0.0,2.491,0.753,-24.168000000000003
-1.5,-0.6,0.1,4.15,0.7759999999999999,-24.174
-1.5,-0.6,0.2,5.672000000000001,0.755,-24.214000000000002
-1.5,-0.6,0.3,7.29,0.769,-24.256
-1.5,-0.6,0.4,8.844,0.693,-24.182
-1.5,-0.6,0.5,10.487,0.7390000000000001,-24.218000000000004
-1.5,-0.6,0.6,12.049000000000001,0.6990000000000001,-24.223000000000003
-1.5,-0.6,0.7,13.606,0.7070000000000001,-24.201999999999998
-1.5,-0.6,0.8,15.148,0.674,-24.223000000000003
-1.5,-0.6,0.9,16.737000000000002,0.687,-24.229
-1.5,-0.6,1.0,18.355,0.628,-24.143
-1.5,-0.6,1.1,19.863,0.625,-24.166999999999998
-1.5,-0.6,1.2,21.388,0.644,-24.113000000000003
-1.5,-0.6,1.3,22.959,0.65,-24.15
-1.5,-0.6,1.4,24.505,0.619,-24.046999999999997
-1.5,-0.6,1.5,26.08,0.5660000000000001,-24.034000000000002
-1.5,-0.5,-1.5,-21.066,0.87,-23.61
-1.5,-0.5,-1.4,-19.508,0.845,-23.803
-1.5,-0.5,-1.3,-18.04,0.847,-23.804000000000002
-1.5,-0.5,-1.2,-16.429000000000002,0.845,-23.904
-1.5,-0.5,-1.1,-14.899000000000001,0.809,-23.912
-1.5,-0.5,-1.0,-13.282,0.872,-24.037
-1.5,-0.5,-0.9,-11.732999999999999,0.848,-23.993000000000002
-1.5,-0.5,-0.8,-10.155,0.8059999999999999,-24.068
-1.5,-0.5,-0.7,-8.586,0.79,-24.083000000000002
-1.5,-0.5,-0.6,-7.023,0.7609999999999999,-24.058000000000003
-1.5,-0.5,-0.5,-5.41,0.726,-24.107
-1.5,-0.5,-0.4,-3.8339999999999996,0.843,-24.162
-1.5,-0.5,-0.3,-2.258,0.76,-24.134
-1.5,-0.5,-0.2,-0.648,0.777,-24.089000000000002
-1.5,-0.5,-0.1,1.002,0.71,-24.129
-1.5,-0.5,0.0,2.542,0.746,-24.173000000000002
-1.5,-0.5,0.1,4.129,0.728,-24.184
-1.5,-0.5,0.2,5.688,0.708,-24.176
-1.5,-0.5,0.3,7.322,0.7190000000000001,-24.165
-1.5,-0.5,0.4,8.887,0.698,-24.22
-1.5,-0.5,0.5,10.458,0.6729999999999999,-24.234
-1.5,-0.5,0.6,12.049000000000001,0.7,-24.208000000000002
-1.5,-0.5,0.7,13.624,0.708,-24.201999999999998
-1.5,-0.5,0.8,15.152000000000001,0.665,-24.248
-1.5,-0.5,0.9,16.78,0.6709999999999999,-24.198
-1.5,-0.5,1.0,18.296,0.691,-24.123
-1.5,-0.5,1.1,19.918,0.6709999999999999,-24.136
-1.5,-0.5,1.2,21.392,0.7040000000000001,-24.133000000000003
-1.5,-0.5,1.3,23.022,0.595,-24.055
-1.5,-0.5,1.4,24.563000000000002,0.595,-24.039
-1.5,-0.5,1.5,26.055,0.667,-24.041999999999998
